Country_Name,Country_Code,Indicator_Name,Indicator_Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Period 1990-2000,Period 1990-2010,Period 2000-2010
Afghanistan,AFG,Energy intensity level of final energy (MJ/$2005 PPP),8.1.2_FINAL.ENERGY.INTENSITY,3.523477465,2.944468993,2.177149796,2.189358294,2.025448804,1.767977182,1.811582684,1.640689064,1.548655707,1.143804132,1.606616424,1.135846131,0.960230274,1.054178566,1.083357439,1.098724499,1.237036858,1.235340765,2.084746255,2.403289731,2.333003302,,,
Afghanistan,AFG,Energy intensity level of primary energy (MJ/$2005 PPP),6.1_PRIMARY.ENERGY.INTENSITY,11.75948339,9.856047711,5.971720409,5.286809278,4.75199586,4.099942675,3.854239503,3.314012066,2.90271241,2.347097159,2.103475535,1.711644094,1.244136384,1.284489293,1.272552766,1.280414934,1.362802028,1.449136324,2.305747698,2.927842008,2.859118252,,,
Afghanistan,AFG,Energy intensity of agricultural sector (MJ/$2005),14.1_AGR.ENERGY.INTENSITY,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Energy intensity of industrial sector (MJ/$2005),13.1_INDUSTRY.ENERGY.INTENSITY,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Energy intensity of other sectors (MJ/$2005),15.1_OTHER.SECT.ENER.INTENS,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Energy savings of primary energy (TJ),10.1_ENERGY.SAVINGS,,8224.008793,28110.98495,35354.56779,43024.81783,52873.81077,61342.41695,73635.78977,87019.85857,103711.8684,119739.807,139943.8819,164203.218,186994.093,204877.2092,234440.7086,258618.3046,285021.0904,270226.3576,303943.0128,331425.4258,,,
Afghanistan,AFG,Final energy intensity -Compound Annual Growth Rate (%),8.1_FINAL.ENER.INTENS.RATE,,,,,,,,,,,,,,,,,,,,,,7.552734341,3.800707849,2.040357218
Afghanistan,AFG,Final to primary energy ratio (%),9.1_FINAL.PRIMARY.RATIO,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Geothermal energy consumption (% in TFEC),2.1.7_SHARE.GEOTHERMAL,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Geothermal energy consumption (TJ),3.1.7_GEOTHERMAL.CONSUM,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Hydro energy consumption (% in TFEC),2.1.3_SHARE.HYDRO,10.19550257,9.545578024,8.981213742,17.00979748,16.76021373,16.32829768,13.79878843,13.75051886,13.00202621,15.85729299,9.552983243,11.43615921,13.56235593,12.1708736,11.57047173,9.817636027,10.96936462,12.60951957,6.890180092,7.008695649,,,,
Afghanistan,AFG,Hydro energy consumption (TJ),3.1.3_HYDRO.CONSUM,985.0723404,881.0246305,719.6517781,1599.280576,1582.951965,1555.818667,1560.533333,1571.4,1591.741353,1629.564964,1665.657758,1625.151787,1855.789532,2104.871311,2242.615385,2292.953642,3158.536692,3888,3707.360406,5021.372328,,,,
Afghanistan,AFG,Liquid biofuels consumption (% in TFEC),2.1.4_SHARE.BIOFUELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Afghanistan,AFG,Liquid biofuels consumption (TJ),3.1.4_BIOFUELS.CONSUM,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Marine energy consumption (% in TFEC),2.1.10_SHARE.MARINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Afghanistan,AFG,Marine energy consumption (TJ),3.1.10_MARINE.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Afghanistan,AFG,Modern biomass consumption (% in TFEC),2.1.2_SHARE.MODERNBIO,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Afghanistan,AFG,Modern biomass consumption (TJ),3.1.2_MODERNBIO.CONSUM,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Afghanistan,AFG,Primary energy intensity -Compound Annual Growth Rate (%),7.1_PRIMARY.ENER.INTENS.RATE,,,,,,,,,,,,,,,,,,,,,,15.81108312,3.116809042,6.826546346
Afghanistan,AFG,Renewable electricity (% in total electricity output),4.1_SHARE.RE.IN.ELECTRICITY,67.73049645,67.98029557,67.9943101,68.34532374,68.70451237,69.03703704,70.37037037,72.3880597,74.43609023,73.72262774,74.98909408,72.81145999,79.0639712,66.29098361,72.43589744,74.06181015,70.75575027,72,68.65482234,87.17660292,0,,,
Afghanistan,AFG,Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,4092.98204,4066.855881,4069.273578,5144.482726,5338.624515,5533.471717,7574.840783,7971.0414,9013.952103,9343.912276,9844.003886,9161.559037,9566.618534,9993.939283,10305.16748,10542.95264,11536.90336,12393.69601,12351.04315,13794.93831,,,,
Afghanistan,AFG,Renewable energy consumption(% in TFEC),2.1_SHARE.TOTAL.RE.IN.TFEC,42.36238012,44.06288857,50.78430554,54.71623343,56.52508092,58.07371729,66.97942501,69.75051235,73.62982765,90.92558929,56.45793905,64.46969976,69.91411654,57.7873674,53.16812229,45.14128403,40.06681317,40.19510095,22.95458285,19.25460168,,,,
Afghanistan,AFG,Renewable energy electricity output (GWh),4.1.2_REN.ELECTRICITY.OUTPUT,764.06112,690.0552,478.03824,475.038,472.03776,466.03728,475.038,485.0388,495.0396,505.0404,515.741256,503.240256,571.04568,647.05176,565.0452,671.05368,646.05168,684.05472,541.04328,775.062,0,,,
Afghanistan,AFG,Renewable energy installed capacity (GW),5.1.2_RE.CAPACITY,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.383,0.376,0.374,0.374,0.374,0.374,0.374,0.37407,0.37407,0.37407,,,
Afghanistan,AFG,Share of renewable capacity in total capacity (%),5.1_RE.SHARE.IN.CAPACITY,59.10931174,59.10931174,59.10931174,59.10931174,59.10931174,59.10931174,59.3495935,59.3495935,59.3495935,58.75251509,71.74447174,76.90763052,76.57841141,76.48261759,76.48261759,76.48261759,76.48261759,76.48261759,76.4859836,76.4859836,76.4859836,,,
Afghanistan,AFG,Solar energy consumption (% in TFEC),2.1.6_SHARE.SOLAR,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Solar energy consumption (TJ),3.1.6_SOLAR.CONSUM,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Thermal efficiency (%) in power supply,11.1_THERMAL.EFFICIENCY,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,1128.09024,1015.0812,703.05624,695.0556,687.05496,675.054,675.054,670.0536,665.0532,685.0548,687.755016,691.155288,722.257776,976.07808,780.0624,906.07248,913.07304,950.076,788.06304,889.07112,0,,,
Afghanistan,AFG,Total final consumption (TJ),8.1.1_FINAL.ENERGY.CONSUMPTION,13541.18911,12721.91081,10574.34891,11958.55297,12435.92165,12204.34678,14057.36015,14305.11459,15215.90667,12603.18698,19922.92711,15819.79092,14994.55044,18818.6421,21164.93917,24580.97792,30771.39368,34149.98252,59590.55823,82709.78067,86874.70697,,,
Afghanistan,AFG,Total final energy consumtion (TFEC),1.1_TOTAL.FINAL.ENERGY.CONSUM,9661.8321,9229.66245,8012.8566,9402.11415,9444.70035,9528.35805,11309.20545,11427.9324,12242.25615,10276.43851,17435.99581,14210.64325,13683.38614,17294.33219,19382.2295,23355.4558,28794.16267,30833.84721,53806.43694,71644.89058,,,,
Afghanistan,AFG,Total installed generation capacity (GW),5.1.1_TOTAL.CAPACITY,0.494,0.494,0.494,0.494,0.494,0.494,0.492,0.492,0.492,0.497,0.407,0.498,0.491,0.489,0.489,0.489,0.489,0.489,0.48907,0.48907,0.48907,,,
Afghanistan,AFG,Total primary energy supply (TJ),6.1.1_PRIMARY.ENERGY.SUPPLY,45193.24727,42584.1672,29004.46048,28877.22352,29176.47095,28301.90496,29907.78908,28894.76342,28519.83235,25861.86178,26084.25329,23839.36606,19427.90835,22930.02824,24861.14085,28645.80814,33899.81264,40060.18545,65907.68164,100762.3705,106465.7988,,,
Afghanistan,AFG,Traditional biomass consumption (% in TFEC),2.1.1_SHARE.TRADBIO,32.16687754,34.51731054,41.8030918,37.70643595,39.76486718,41.74541961,53.18063658,55.99999349,60.62780144,75.06829631,46.90495581,53.03354055,56.35176061,45.6164938,41.59765056,35.32364801,29.09744856,27.58558137,16.06440276,12.24590603,,,,
Afghanistan,AFG,Traditional biomass consumption (TJ),3.1.1_TRADBIO.CONSUM,3107.9097,3185.83125,3349.6218,3545.20215,3755.67255,3977.65305,6014.30745,6399.6414,7422.21075,7714.347312,8178.346128,7536.40725,7710.829002,7889.067972,8062.552098,8249.998995,8378.36667,8505.696013,8643.682741,8773.565977,0,,,
Afghanistan,AFG,Transmission and distribution losses (%),12.1_TD.LOSSES,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Waste energy consumption (% in TFEC),2.1.8_SHARE.WASTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Afghanistan,AFG,Waste energy consumption (TJ),3.1.8_WASTE.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Afghanistan,AFG,Wind energy consumption (% in TFEC),2.1.5_SHARE.WIND,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Wind energy consumption (TJ),3.1.5_WIND.CONSUM,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Access to Non-Solid Fuel (% of rural population),2.2_ACCESS.NONSOLIDFUEL.RURAL,,,,,,,,,,,,,,,,,,,,,49,,,
Albania,ALB,Access to Non-Solid Fuel (% of total population),2.1_ACCESS.NONSOLIDFUEL.TOT,35.65381,,,,,,,,,,50.02124,,,,,,,,,,61.41861,,,
Albania,ALB,Access to Non-Solid Fuel (% of urban population),2.3_ACCESS.NONSOLIDFUEL.URBAN,,,,,,,,,,,,,,,,,,,,,89,,,
Albania,ALB,Access to electricity (% of rural population),1.2_ACCESS.ELECTRICITY.RURAL,100,,,,,,,,,,100,,,,,,,,,,100,,,
Albania,ALB,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100,,,,,,,,,,100,,,,,,,,,,100,,,
Albania,ALB,Access to electricity (% of urban population),1.3_ACCESS.ELECTRICITY.URBAN,100,,,,,,,,,,100,,,,,,,,,,100,,,
Albania,ALB,Biogas consumption (% in TFEC),2.1.9_SHARE.BIOGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Albania,ALB,Biogas consumption (TJ),3.1.9_BIOGAS.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Albania,ALB,Divisia Decomposition Analysis - Activity component  -Compound Annual Growth Rate (%),16.5_DECOMP.ACTIVITY.RATE,,,,,,,,,,,,,,,,,,,,,,,,5.760938288
Albania,ALB,Divisia Decomposition Analysis - Activity component Index,16.2_DECOMP.ACTIVITY.INDEX,1,0.70419473,0.653504569,0.716200407,0.775634306,0.878785089,0.958740824,0.861051291,0.970400903,1.064511874,1.142220105,1.222175094,1.257560876,1.329180764,1.407407786,1.48478262,1.558739245,1.650701967,1.777645618,1.836229721,1.900473122,,,
Albania,ALB,Divisia Decomposition Analysis - Energy Intensity component -Compound Annual Growth Rate (%),16.4_DECOMP.EFFICIENCY.RATE,,,,,,,,,,,,,,,,,,,,,,,,2.880206671
Albania,ALB,Divisia Decomposition Analysis - Energy Intensity component Index,16.1_DECOMP.EFFICIENCY.IND,1,1.03521337,0.885517481,0.759414008,0.699233398,0.626606584,0.578795784,0.524554279,0.492413072,0.673409761,0.632204992,0.602335985,0.656542343,0.614695105,0.634563072,0.578704297,0.509491152,0.482009497,0.467204761,0.43850636,0.438072667,,,
Albania,ALB,Divisia Decomposition Analysis - Structure Component -Compound Annual Growth Rate (%),16.6_DECOMP.STRUCTURE.RATE,,,,,,,,,,,,,,,,,,,,,,,,0.767489313
Albania,ALB,Divisia Decomposition Analysis - Structure Component Index,16.3_DECOMP.STRUCTURE.INDEX,1,1.01801955,0.949012894,0.953655969,0.96997752,0.927144603,0.969766047,0.982435298,1.002275449,1.027820352,1.031565148,1.032483038,1.069958074,1.074867613,1.07933094,1.087502443,1.080080044,1.084689906,1.091592912,1.094064692,1.096197171,,,
Albania,ALB,Energy intensity level of final energy (MJ/$2005 PPP),8.1.2_FINAL.ENERGY.INTENSITY,7.303932086,7.698559996,6.334219847,4.917906118,4.66251861,3.785356063,3.656165378,3.319561497,3.193131978,4.722230415,4.433924861,4.239905501,4.637151045,4.328404999,4.712158551,4.3242955,3.811630947,3.551527049,3.364106072,3.416353713,3.339532186,,,
Albania,ALB,Energy intensity level of primary energy (MJ/$2005 PPP),6.1_PRIMARY.ENERGY.INTENSITY,8.699714201,8.647744252,6.766001205,6.049978524,5.948278417,4.930810354,4.823594345,4.585538754,4.392673875,5.369143984,5.055321641,4.779877316,5.173807952,4.892244411,5.077500197,4.818619055,4.351071407,4.02678817,3.804095618,3.681745985,3.543405439,,,
Albania,ALB,Energy intensity of agricultural sector (MJ/$2005),14.1_AGR.ENERGY.INTENSITY,0.040898207,0.037559661,0.034581583,0.037845821,0.038561087,0.041515113,0.053740892,0.029758453,0.031640979,2.578443599,2.473940258,2.4341207,2.675771154,2.191045288,1.521406082,1.084781071,1.701410444,1.698519647,1.171619203,0.74229328,0.934732566,,,
Albania,ALB,Energy intensity of industrial sector (MJ/$2005),13.1_INDUSTRY.ENERGY.INTENSITY,7.256244298,8.250875278,9.637399902,7.771226761,6.972870388,6.298722697,5.328612508,4.595822389,4.163040726,4.841023397,4.390796785,3.803415361,4.5340757,4.437637419,3.627747628,3.338262545,4.002787671,3.89308677,3.55673489,2.759715108,2.93424426,,,
Albania,ALB,Energy intensity of other sectors (MJ/$2005),15.1_OTHER.SECT.ENER.INTENS,9.591900768,10.12727925,8.668075783,7.664076266,7.008625829,7.045661614,6.297227359,5.950707171,5.912582897,7.072273598,6.721178743,6.435871346,7.132828413,6.52158949,7.38472941,6.914495468,5.646221484,5.22930599,5.381680986,5.242949756,5.042752582,,,
Albania,ALB,Energy savings of primary energy (TJ),10.1_ENERGY.SAVINGS,,470.6753025,16252.08604,24407.88814,27448.30235,42599.1639,47797.80657,45558.55204,53751.42209,45763.25784,53730.7884,61837.20258,57235.82863,65329.3997,65817.63408,74400.33841,87531.35583,99608.12998,112390.3848,119000.7809,126561.3708,,,
Albania,ALB,Final energy intensity -Compound Annual Growth Rate (%),8.1_FINAL.ENER.INTENS.RATE,,,,,,,,,,,,,,,,,,,,,,4.868759423,2.794748014,3.837345024
Albania,ALB,Final to primary energy ratio (%),9.1_FINAL.PRIMARY.RATIO,83.95600035,89.02390926,93.61836712,81.28799299,78.38433717,76.7694515,75.79753015,72.39196254,72.69221592,87.95127173,87.70806639,88.70322856,89.62742891,88.47483149,92.8046946,89.74138546,87.60212349,88.19751372,88.43379374,92.79167348,94.24640344,,,
Albania,ALB,Geothermal energy consumption (% in TFEC),2.1.7_SHARE.GEOTHERMAL,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Geothermal energy consumption (TJ),3.1.7_GEOTHERMAL.CONSUM,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Hydro energy consumption (% in TFEC),2.1.3_SHARE.HYDRO,6.515821673,7.106941237,11.1344368,13.7659351,15.33093621,16.73363572,21.68862106,20.35574968,19.92983179,24.52306896,23.69790489,21.94720936,20.60603019,21.30098787,23.02268256,23.60095465,17.29364749,18.24190651,22.63606415,26.31767807,26.40102546,,,
Albania,ALB,Hydro energy consumption (TJ),3.1.3_HYDRO.CONSUM,5393.210757,4304.674307,4868.3098,5654.35784,6392.540471,6944.12415,9609.360445,7348.018519,7817.476519,15229.31629,14851.47699,14086.15791,15277.10472,15408.49559,18694.18801,18350.92229,12308.23479,12881.33986,16628,19349.28327,20423.30528,,,
Albania,ALB,Liquid biofuels consumption (% in TFEC),2.1.4_SHARE.BIOFUELS,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Liquid biofuels consumption (TJ),3.1.4_BIOFUELS.CONSUM,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Marine energy consumption (% in TFEC),2.1.10_SHARE.MARINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Albania,ALB,Marine energy consumption (TJ),3.1.10_MARINE.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Albania,ALB,Modern biomass consumption (% in TFEC),2.1.2_SHARE.MODERNBIO,0,0,0,0,0,0,0.000970523,0.000886476,0.000509879,9.712956104,9.476495931,9.184724689,2.598753692,5.899829963,1.340730797,1.239354382,1.353987523,1.480655394,1.999006235,1.707556922,1.352710773,,,
Albania,ALB,Modern biomass consumption (TJ),3.1.2_MODERNBIO.CONSUM,0,0,0,0,0,0,0.43,0.32,0.2,6031.94,5938.92,5894.94,1926.69,4267.76,1088.66,963.66,963.66,1045.55,1468.43,1255.43,1046.43,,,
Albania,ALB,Primary energy intensity -Compound Annual Growth Rate (%),7.1_PRIMARY.ENER.INTENS.RATE,,,,,,,,,,,,,,,,,,,,,,5.283774966,3.491135577,4.391656638
Albania,ALB,Renewable electricity (% in total electricity output),4.1_SHARE.RE.IN.ELECTRICITY,89.05565979,93.76332623,96.09770629,95.17518667,96.5932377,95.24241051,96.62504219,96.99074074,97.09944751,97.90624421,96.96074293,96.28927411,95.2794357,97.85657051,97.5026757,98.71394452,98.31643736,97.48251748,100,99.98079508,99.98680739,,,
Albania,ALB,Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,20589.21076,19500.67431,20064.3098,20158.35784,20236.54047,20158.12415,22222.36045,19387.01852,19308.47652,26233.31629,25696.47699,24860.15791,26053.10472,23778.49559,28505.18801,28034.92229,22033.23479,22144.33986,25903,28418.28327,29285.30528,,,
Albania,ALB,Renewable energy consumption(% in TFEC),2.1_SHARE.TOTAL.RE.IN.TFEC,24.87490879,32.19526879,45.88959998,49.07695153,48.53236557,48.57613415,50.15654865,53.70662784,49.2249242,42.24230506,41.00283548,38.73384735,35.14089038,32.8718299,35.10534368,36.05545918,30.95772887,31.35970184,35.26232677,38.65276145,37.85685421,,,
Albania,ALB,Renewable energy electricity output (GWh),4.1.2_REN.ELECTRICITY.OUTPUT,2848,3518,3226,3314,3771,4204,5726,5028,4921,5284,4594,3555,3512,4885,5466,5373,5431,2788,3797,5206,7579,,,
Albania,ALB,Renewable energy installed capacity (GW),5.1.2_RE.CAPACITY,1.668,1.668,1.668,1.668,1.668,1.445,1.445,1.445,1.445,1.445,1.445,1.445,1.445,1.445,1.445,1.432,1.432,1.432,1.45,1.45,1.461,,,
Albania,ALB,Share of renewable capacity in total capacity (%),5.1_RE.SHARE.IN.CAPACITY,88.16067653,88.16067653,88.16067653,88.16067653,88.16067653,86.57878969,85.80760095,85.80760095,85.80760095,85.80760095,85.80760095,86.57878969,86.57878969,81.22540753,86.57878969,89.94974874,89.94974874,89.94974874,90.0621118,90.0621118,90.12954966,,,
Albania,ALB,Solar energy consumption (% in TFEC),2.1.6_SHARE.SOLAR,0,0,0,0,,,,,,0.059579402,0.073400351,0.088809947,0.079580248,0.116123146,0.070197909,0.070735001,0.134884505,0.37386354,0.370279616,0.379478251,0.363246206,,,
Albania,ALB,Solar energy consumption (TJ),3.1.6_SOLAR.CONSUM,0,0,0,0,,,,,,37,46,57,59,84,57,55,96,264,272,279,281,,,
Albania,ALB,Thermal efficiency (%) in power supply,11.1_THERMAL.EFFICIENCY,55.01883024,55.14461784,54.63888889,54.85492369,54.99053398,54.83143939,55.06793478,55.13988095,54.50431034,19.99917682,19.96324596,19.99253377,29.97596154,19.17083333,23.22530864,13.63224638,18.11141304,22.24137931,,4.018691589,1.607476636,,,
Albania,ALB,Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,3198,3752,3357,3482,3904,4414,5926,5184,5068,5397,4738,3692,3686,4992,5606,5443,5524,2860,3797,5207,7580,,,
Albania,ALB,Total final consumption (TJ),8.1.1_FINAL.ENERGY.CONSUMPTION,93947.52,69723.41,53236.59,45301.01,46513.25,42785.12,45085.47,36759.35,39849.96,64885.18,65371.19,66886.43,75274.6,74267.72,85622.53,82896.46,76722.15,75704.38,77230.93,81018.6,81968.67,,,
Albania,ALB,Total final energy consumtion (TFEC),1.1_TOTAL.FINAL.ENERGY.CONSUM,82771,60570,43723,41075,41697,41498,44306,36098,39225,62102,62670,64182,74139,72337,81199,77755,71172,70614,73458,73522,77358,,,
Albania,ALB,Total installed generation capacity (GW),5.1.1_TOTAL.CAPACITY,1.892,1.892,1.892,1.892,1.892,1.669,1.684,1.684,1.684,1.684,1.684,1.669,1.669,1.779,1.669,1.592,1.592,1.592,1.61,1.61,1.621,,,
Albania,ALB,Total primary energy supply (TJ),6.1.1_PRIMARY.ENERGY.SUPPLY,111900.9,78319.87,56865.54,55729.03,59339.98,55731.96,59481.45,50778.22,54820.12,73774.01,74532.7,75404.73,83986.12,83942.2,92260.99,92372.61,87580.24,85835.05,87331.92,87312.36,86972.73,,,
Albania,ALB,Traditional biomass consumption (% in TFEC),2.1.1_SHARE.TRADBIO,18.35917169,25.08844312,34.75532329,35.31152769,33.2021968,31.84360692,28.46695707,33.34999169,29.29458254,7.946700589,7.755034307,7.513103362,11.85652625,5.554888923,10.67173241,11.14441515,12.17520935,11.2632764,10.25697678,10.2480482,9.739871765,,,
Albania,ALB,Traditional biomass consumption (TJ),3.1.1_TRADBIO.CONSUM,15196.07,15196.07,15196.07,14504.21,13844.32,13214.46,12612.57,12038.68,11490.8,4935.06,4860.08,4822.06,8790.31,4018.24,8665.34,8665.34,8665.34,7953.45,7534.57,7534.57,7534.57,,,
Albania,ALB,Transmission and distribution losses (%),12.1_TD.LOSSES,52.75171982,34.06183369,42.03157581,47.53015508,47.2079918,51.72179429,48.71751603,56.19212963,62.92423047,25.73652029,27.47994935,36.45720477,27.88931091,28.88621795,11.4520157,11.53775491,45.05792904,72.9020979,38.53041875,23.56443249,12.63852243,,,
Albania,ALB,Waste energy consumption (% in TFEC),2.1.8_SHARE.WASTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Albania,ALB,Waste energy consumption (TJ),3.1.8_WASTE.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Albania,ALB,Wind energy consumption (% in TFEC),2.1.5_SHARE.WIND,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Wind energy consumption (TJ),3.1.5_WIND.CONSUM,,,,,,,,,,,,,,,,,,,0,0,,,,
Algeria,DZA,Access to Non-Solid Fuel (% of rural population),2.2_ACCESS.NONSOLIDFUEL.RURAL,,,,,,,,,,,,,,,,,,,,,95,,,
Algeria,DZA,Access to Non-Solid Fuel (% of total population),2.1_ACCESS.NONSOLIDFUEL.TOT,86.11535,,,,,,,,,,95,,,,,,,,,,95,,,
Algeria,DZA,Access to Non-Solid Fuel (% of urban population),2.3_ACCESS.NONSOLIDFUEL.URBAN,,,,,,,,,,,,,,,,,,,,,95,,,
Algeria,DZA,Access to electricity (% of rural population),1.2_ACCESS.ELECTRICITY.RURAL,91.01978,,,,,,,,,,96.7,,,,,,,,,,97.9,,,
Algeria,DZA,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,94.03774,,,,,,,,,,98,,,,,,,,,,99.3,,,
Algeria,DZA,Access to electricity (% of urban population),1.3_ACCESS.ELECTRICITY.URBAN,96.81407778,,,,,,,,,,98.83861516,,,,,,,,,,99.84379651,,,
Algeria,DZA,Biogas consumption (% in TFEC),2.1.9_SHARE.BIOGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Algeria,DZA,Biogas consumption (TJ),3.1.9_BIOGAS.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Algeria,DZA,Divisia Decomposition Analysis - Activity component  -Compound Annual Growth Rate (%),16.5_DECOMP.ACTIVITY.RATE,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Divisia Decomposition Analysis - Activity component Index,16.2_DECOMP.ACTIVITY.INDEX,,,,,,,,,,,,,,,,,,,,,1,,,
Algeria,DZA,Divisia Decomposition Analysis - Energy Intensity component -Compound Annual Growth Rate (%),16.4_DECOMP.EFFICIENCY.RATE,,,,,,,,,,,,,,,,,,,,,,,,
